time,coin,dir,px,sz,ntl,fee,closedPnl
06/02/2025 - 00:09:02,ETH,Open Short,2785.9,0.7179,1999.9976100000001,0.699999,-0.699999
06/02/2025 - 08:25:53,ETH,Close Short,2842.1,0.7179,2040.34359,0.71412,-41.0601
06/02/2025 - 08:35:42,ETH,Open Long,2833.6,1.0591,3001.0657599999995,1.050373,-1.050373
06/02/2025 - 10:43:50,ETH,Close Long,2825.5,1.0591,2992.4870499999997,1.047369,-9.626078999999999
06/02/2025 - 22:35:49,ETH,Open Long,2690.3,0.744,2001.5832,0.700554,-0.700554
07/02/2025 - 09:32:23,ETH,Close Long,2734.3,0.744,2034.3192000000001,0.712011,32.023989
07/02/2025 - 16:01:50,ETH,Open Short,2710.07613365,0.9218,2498.14817999857,0.874351,-0.874351
07/02/2025 - 16:05:18,ETH,Close Short,2705.4,0.9218,2493.83772,0.872843,3.431963
07/02/2025 - 16:49:50,ETH,Open Short,2700.5,0.9257,2499.8528499999998,0.874948,-0.874948
07/02/2025 - 18:38:49,ETH,Close Short,2698,0.9257,2497.5386,0.874138,1.440112
07/02/2025 - 18:52:13,ETH,Open Long,2683.6,0.9313,2499.23668,0.874732,-0.874732
07/02/2025 - 18:53:26,ETH,Close Long,2678.4,0.9313,2494.39392,0.873037,-5.715797
09/02/2025 - 15:10:59,BTC,Open Long,96243,0.026,2502.3179999999998,0.875811,-0.875811
10/02/2025 - 07:01:50,BTC,Close Long,97307,0.026,2529.982,0.885493,26.778507
11/02/2025 - 11:35:12,BTC,Open Short,98034,0.04079,3998.80686,1.399582,-1.399582
11/02/2025 - 21:44:19,BTC,Close Short,96230,0.04079,3925.2217,1.373827,72.211333
11/02/2025 - 22:27:08,BTC,Open Short,96305,0.02595,2499.11475,0.87469,-0.87469
12/02/2025 - 07:15:45,BTC,Close Short,95942,0.02595,2489.6949,0.871393,8.548457
13/02/2025 - 09:25:52,BTC,Open Long,96273,0.02597,2500.20981,0.875073,-0.875073
13/02/2025 - 18:48:32,BTC,Close Long,95854,0.02597,2489.32838,0.871264,-11.752694
13/02/2025 - 21:09:08,ETH,Open Long,2666.54447605,1.1251,3000.129190003855,1.050045,-1.050045
13/02/2025 - 21:34:31,ETH,Close Long,2665.1,1.1251,2998.5040099999997,1.049476,-2.66962
13/02/2025 - 22:05:28,BTC,Open Short,96527,0.02589,2499.08403,0.874679,-0.874679
14/02/2025 - 07:05:28,BTC,Close Short,96899,0.02589,2508.71511,0.87805,-10.50913
14/02/2025 - 16:28:42,BTC,Open Long,96907,0.04128,4000.3209599999996,1.400111,-1.400111
16/02/2025 - 22:04:33,BTC,Close Long,97166,0.04128,4011.01248,1.403854,9.287666000000002
16/02/2025 - 22:09:51,ETH,Open Long,2680.9,1.492,3999.9028000000003,1.399965,-1.399965
17/02/2025 - 14:10:21,ETH,Close Long,2795,0.746,2085.07,0.208505,84.910095
17/02/2025 - 15:00:09,ETH,Close Long,2834,0.746,2114.164,0.211416,114.001184
17/02/2025 - 23:24:49,ETH,Open Long,2746.99864865,1.8204,5000.63634000246,1.750222,-1.750222
18/02/2025 - 09:45:51,ETH,Close Long,2682.98420127,1.8204,4884.104439991908,1.709436,-118.22559199999999
18/02/2025 - 09:47:57,ETH,Open Short,2683.3,1.8634,5000.0612200000005,1.750021,-1.750021
18/02/2025 - 16:34:22,ETH,Close Short,2654.3,0.9317,2473.0113100000003,0.247301,26.771999
18/02/2025 - 16:36:40,ETH,Close Short (Price Improved),2634,0.9317,2454.0978,0.245409,45.687401
19/02/2025 - 10:47:03,BTC,Open Short,96267.28634701,0.05193,4999.160180000229,1.749705,-1.749705
19/02/2025 - 21:33:54,BTC,Close Short,96433,0.05193,5007.765689999999,1.752717,-10.362711000000001
19/02/2025 - 21:34:57,BTC,Open Short,96412,0.05186,4999.9263200000005,1.749974,-1.749974
20/02/2025 - 06:54:21,BTC,Close Short,96961.76976475,0.05186,5028.437379999936,1.759952,-30.271012
20/02/2025 - 06:57:54,BTC,Open Short,96920,0.04127,3999.8884000000003,1.39996,-1.39996
20/02/2025 - 22:01:46,BTC,Close Short,98034,0.04127,4045.8631800000003,1.416052,-47.390832
20/02/2025 - 22:27:42,BTC,Open Short,98053,0.03569,3499.51157,1.224829,-1.224829
21/02/2025 - 09:59:19,BTC,Close Short,98308,0.03569,3508.61252,1.228014,-10.328964
21/02/2025 - 10:34:24,BTC,Open Short,98411,0.04064,3999.42304,1.399798,-1.399798
21/02/2025 - 12:46:53,BTC,Close Short,98765.94808071,0.04064,4013.848130000055,1.404845,-15.829935
21/02/2025 - 13:55:28,KAITO,Open Long,1.8002,444,799.2888,0.27975,-0.27975
21/02/2025 - 14:26:04,BTC,Open Short,99009,0.0202,1999.9818,0.699993,-0.699993
21/02/2025 - 17:47:04,KAITO,Close Long,1.70949369,444,759.01519836,0.265654,-40.539117999999995
22/02/2025 - 10:43:25,KAITO,Open Long,1.5939,313,498.89070000000004,0.174611,-0.174611
22/02/2025 - 17:12:29,KAITO,Close Long,1.5639,313,489.5007,0.171325,-9.561325
24/02/2025 - 11:44:44,KAITO,Open Short,1.7854,280,499.91200000000003,0.174969,-0.174969
24/02/2025 - 19:54:05,KAITO,Close Short,1.7419,280,487.732,0.048773,12.131226999999999
25/02/2025 - 02:19:16,KAITO,Open Long,1.6141,313,505.2133,0.050521,-0.050521
25/02/2025 - 14:24:54,@107,Buy,18.922,13.21,249.95962000000003,0.00462345,-0.00462345
25/02/2025 - 14:44:45,ETH,Open Short,2388.9,2.0937,5001.63993,1.750573,-1.750573
25/02/2025 - 14:47:45,ETH,Close Short,2378,2.0937,4978.8186000000005,1.742586,21.078744
25/02/2025 - 14:48:47,ETH,Open Long,2378.6,2.1029,5001.95794,1.750685,-1.750685
25/02/2025 - 15:10:41,ETH,Close Long,2381,2.1029,5007.0049,1.752451,3.2945090000000006
25/02/2025 - 15:11:25,ETH,Open Short,2371.6021740162,2.1067,4996.254299999929,1.748687,-1.748687
25/02/2025 - 17:55:39,ETH,Close Short,2419.5,2.1067,5097.16065,1.784006,-102.694936
25/02/2025 - 23:55:51,ETH,Open Long,2495.2,2.0035,4999.133199999999,1.749696,-1.749696
26/02/2025 - 00:07:23,ETH,Close Long,2493.8,2.0035,4996.3283,1.748713,-4.553613
28/02/2025 - 10:15:53,BTC,Close Short,79892,0.0202,1613.8183999999999,0.564836,385.598564
28/02/2025 - 10:19:43,KAITO,Close Long,1.963,313,614.419,0.215046,108.99065399999999
28/02/2025 - 16:08:20,ETH,Open Short,2215.235682956,2.2571,5000.008459999987,1.750002,-1.750002
28/02/2025 - 16:18:40,ETH,Close Short,2213,2.2571,4994.9623,1.748236,3.285097
28/02/2025 - 16:26:50,ETH,Open Short,2208.1,2.2641,4999.35921,1.749774,-1.749774
28/02/2025 - 22:32:33,ETH,Close Short,2211,2.2641,5005.9251,0.500592,-7.066482
28/02/2025 - 23:00:21,LDO,Open Long,1.2604622576,3960,4991.430540096,1.746999,-1.746999
01/03/2025 - 18:35:15,BTC,Open Short,85170,0.34048,28998.6816,10.149538,-10.149538
01/03/2025 - 19:25:29,BTC,Close Short,85187,0.34048,29004.46976,10.151563,-15.939723
03/03/2025 - 13:40:57,BTC,Open Short,93326.0177319276,0.39646,37000.032990000014,12.950009,-12.950009
03/03/2025 - 13:41:26,BTC,Close Short,93457,0.39646,37051.96222,12.968186,-64.904446
03/03/2025 - 15:17:20,BTC,Open Long,90119,0.3,27035.7,9.462495,-9.462495
03/03/2025 - 15:29:42,BTC,Close Long,90944.8363333333,0.3,27283.45089999999,9.549207,238.201693
03/03/2025 - 15:58:30,TRX,Open Short,0.2415252986,20694,4998.1245292284,1.749343,-1.749343
03/03/2025 - 19:39:14,TRX,Close Short,0.23066601,6000,1383.99606,0.484398,64.669542
14/03/2025 - 12:47:59,LDO,Close Long,0.9186066159,3960,3637.6821989640002,1.273187,-1355.012588
14/03/2025 - 12:49:24,TRX,Close Short,0.2210027379,14694,3247.4142307026,1.136594,300.417526
14/03/2025 - 13:04:26,UNI,Open Long,5.9282695608,1678.1,9948.229149978479,3.481878,-3.481878
14/03/2025 - 19:21:57,UNI,Close Long,6.122,496,3036.5119999999997,1.062778,95.032262
17/03/2025 - 16:43:24,BTC,Open Long,83210,0.10815,8999.1615,3.149706,-3.149706
17/03/2025 - 17:18:07,BTC,Close Long,83761,0.10815,9058.75215,3.170562,56.420088
17/03/2025 - 17:38:09,UNI,Close Long,6.2857,382.1,2401.7659700000004,0.840617,135.73720699999998
17/03/2025 - 18:35:12,DYDX,Open Short,0.6471512567,5200,3365.1865348399997,1.177813,-1.177813
17/03/2025 - 19:21:47,DYDX,Close Short,0.64623,4000,2584.92,0.904721,2.7752790000000003
17/03/2025 - 19:23:12,DYDX,Open Short,0.64626,4000,2585.04,0.904763,-0.904763
19/03/2025 - 15:00:50,UNI,Close Long,6.875,109.7,754.1875,0.075418,103.78196
19/03/2025 - 15:00:51,UNI,Close Long,6.875,144.2,991.3749999999999,0.099137,136.42077099999997
19/03/2025 - 15:00:52,UNI,Close Long,6.875,528.9,3636.1875,0.363618,500.36716800000005
19/03/2025 - 15:00:52,UNI,Close Long,6.875,17.2,118.25,0.011825,16.272102999999998
19/03/2025 - 16:05:45,BTC,Open Short,84547,0.17741,14999.48327,5.249818,-5.249818
19/03/2025 - 16:54:09,BTC,Close Short,84593.9577250437,0.17741,15007.814040000003,5.252732,-13.583502
19/03/2025 - 17:05:50,BTC,Open Short,84636,0.17726,15002.57736,5.250902,-5.250902
19/03/2025 - 17:21:43,BTC,Close Short,84630,0.17726,15001.5138,1.500151,-0.43659099999999995
19/03/2025 - 23:32:42,kSHIB,Open Long,0.0128947063,387867,5001.4310484621,1.750499,-1.750499
20/03/2025 - 23:01:00,BTC,Open Short,84081,0.038,3195.078,1.118277,-1.118277
20/03/2025 - 23:09:28,BTC,Close Short,84111,0.038,3196.218,1.118676,-2.258676
26/03/2025 - 09:38:52,DYDX,Close Short,0.7547982218,4527,3416.9715500886,1.195938,-491.643068
26/03/2025 - 09:43:52,DYDX,Close Short,0.7538485141,673,507.3400499893,0.177568,-72.45003799999999
26/03/2025 - 09:48:55,kSHIB,Close Long,0.015428,387867,5984.012076,2.094404,980.7605739999999
26/03/2025 - 10:56:37,kSHIB,Open Long,0.0153832155,585175,9001.8731302125,3.150653,-3.150653
26/03/2025 - 15:30:03,kSHIB,Market Order Liquidation: Close Long,0.014551,585175,8514.881425,2.980208,-489.845808
26/03/2025 - 19:20:39,AAVE,Open Short,175.91,22.74,4000.1933999999997,1.400067,-1.400067
26/03/2025 - 19:24:23,DYDX,Open Long,0.7348898295,3266.3,2400.37065009585,0.840128,-0.840128
28/03/2025 - 11:48:24,AAVE,Close Short,173.4956166667,12,2081.9474000003997,0.728681,28.243918999999998
28/03/2025 - 11:50:17,DYDX,Close Long,0.6926,2000,1385.2,0.48482,-85.04482
17/04/2025 - 10:27:52,AAVE,Close Short,137.28,10.74,1474.3872000000001,0.147438,414.73876199999995
17/04/2025 - 10:44:11,DYDX,Close Long,0.55054,35.7,19.654278,0.001965,-6.582903
17/04/2025 - 10:44:19,DYDX,Close Long,0.55054,1230.6,677.494524,0.067748,-226.916552